repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
14,Pooled associative latent class model,True,25,1,-8051.7111525513355,0.4769485555358519,1.9102489805766178
14,Target-calibrated associative latent model,True,19,0,-7828.363812759651,0.4984635862315904,2.024772408016891
14,Modular causal latent SCM,True,20,3,-7831.503877682194,0.4983488890631652,2.031247560617339
15,Pooled associative latent class model,True,23,0,-7958.9501608599585,0.4939149097548465,1.810876296839548
15,Target-calibrated associative latent model,True,20,1,-7724.905753898012,0.49719120485183965,1.8579809605131756
15,Modular causal latent SCM,True,21,0,-7728.528592220206,0.4972786669730844,1.8816998239816738
16,Pooled associative latent class model,True,18,0,-8098.49507460128,0.47336264587909593,1.9331327907592821
16,Target-calibrated associative latent model,True,17,0,-7830.193827753884,0.48435692747772147,2.0818315146429605
16,Modular causal latent SCM,True,17,0,-7836.065756133998,0.48654661971384444,2.0782132428937645
17,Pooled associative latent class model,True,20,0,-8060.680524503676,0.49035584324963366,1.9747558756320829
17,Target-calibrated associative latent model,True,22,2,-7855.448508118061,0.48315994351824215,2.090873292771318
17,Modular causal latent SCM,True,20,1,-7864.115903929589,0.4894880768921852,2.0759493062585834
18,Pooled associative latent class model,True,37,2,-7989.291725571415,0.43655105172296466,2.1546313987318206
18,Target-calibrated associative latent model,True,36,3,-7777.695767874404,0.4255201993962694,2.159269958491323
18,Modular causal latent SCM,True,39,2,-7787.521328573897,0.417801232736599,2.1581371984893964
19,Pooled associative latent class model,True,23,3,-7985.868899518244,0.48654796462713196,2.072189336083641
19,Target-calibrated associative latent model,True,24,2,-7763.708435136733,0.48564319911413856,2.131572007159506
19,Modular causal latent SCM,True,21,3,-7767.057485349924,0.4864253074607727,2.1264104474027574
20,Pooled associative latent class model,True,25,1,-7993.15374521253,0.46835734345027763,2.102872741758544
20,Target-calibrated associative latent model,True,22,3,-7750.996956591673,0.48660574428623793,2.1572279105558003
20,Modular causal latent SCM,True,17,3,-7754.355599100514,0.4898541633364366,2.1430598777493772
21,Pooled associative latent class model,True,23,0,-8042.112948868606,0.4873070857524667,1.7323906228799744
21,Target-calibrated associative latent model,True,23,3,-7820.4647878982505,0.4843704830556022,1.8470735072368347
21,Modular causal latent SCM,True,20,3,-7823.021783937572,0.48287009032034456,1.8505075931077448
22,Pooled associative latent class model,True,31,2,-7981.133594218763,0.4665729385054991,1.934900282065223
22,Target-calibrated associative latent model,True,25,3,-7734.946310035366,0.47807152603737424,2.0640125260822506
22,Modular causal latent SCM,True,32,1,-7738.017354290605,0.47460429501482343,2.0605108367196467
23,Pooled associative latent class model,True,18,0,-7931.101261835285,0.48146363241621665,2.120080717807453
23,Target-calibrated associative latent model,True,17,0,-7678.767192594516,0.4883351809461705,2.196268881026752
23,Modular causal latent SCM,True,18,3,-7683.972184888702,0.4869139057254743,2.1909479533440592
24,Pooled associative latent class model,True,32,2,-7971.481404644674,0.4430373669212979,2.0654027925903424
24,Target-calibrated associative latent model,True,32,1,-7764.115781820309,0.4667105363026332,2.0869330369922316
24,Modular causal latent SCM,True,32,1,-7768.5592071300725,0.46566724369099777,2.0823434751844694
25,Pooled associative latent class model,True,23,1,-8018.059760293297,0.47948190180181743,1.7800723831094083
25,Target-calibrated associative latent model,True,20,1,-7748.654287994608,0.479242977953673,1.8640859854359553
25,Modular causal latent SCM,True,20,1,-7755.751864059599,0.47878935456155064,1.8637935004744537
26,Pooled associative latent class model,True,21,3,-8001.441543478511,0.4915361614565676,1.9901957199158145
26,Target-calibrated associative latent model,True,17,0,-7780.142426836524,0.4960669775583643,2.0898884097955697
26,Modular causal latent SCM,True,16,0,-7780.606805886762,0.498560919558845,2.119224959467278
27,Pooled associative latent class model,True,21,1,-8071.588791073246,0.48442349886656455,2.0453348012062462
27,Target-calibrated associative latent model,True,20,1,-7810.630729761711,0.4721454371189912,2.1090050835478142
27,Modular causal latent SCM,True,20,1,-7814.527524726169,0.47196570962832063,2.113517286009734
28,Pooled associative latent class model,True,21,0,-7951.9055764502245,0.4927802553464741,1.8313403489036768
28,Target-calibrated associative latent model,True,24,3,-7707.506538604415,0.48149882309042835,1.9098494528799232
28,Modular causal latent SCM,True,27,2,-7712.018641990785,0.4826847650480248,1.897670642571653
29,Pooled associative latent class model,True,15,0,-7971.8029994436365,0.4973367193293957,2.1189219828281116
29,Target-calibrated associative latent model,True,15,0,-7721.389058555693,0.49512643279949975,2.1760585173351954
29,Modular causal latent SCM,True,15,0,-7724.27578103775,0.4955326770023208,2.1825237490673737
30,Pooled associative latent class model,True,30,1,-8038.512396786447,0.44769129119623446,2.0111456976001323
30,Target-calibrated associative latent model,True,26,1,-7778.765810694294,0.4486993887208662,2.0950311369797188
30,Modular causal latent SCM,True,26,0,-7784.089235739213,0.44808868569043075,2.096460609519174
31,Pooled associative latent class model,True,24,3,-8076.955930744671,0.4690981147615587,1.9050921380249508
31,Target-calibrated associative latent model,True,20,0,-7838.749664752467,0.4909240013565536,1.9272395773093578
31,Modular causal latent SCM,True,21,0,-7844.685882309957,0.49154620026639084,1.9109115110334927
32,Pooled associative latent class model,True,21,3,-8083.372760309603,0.49106899832331774,1.9282965246858668
32,Target-calibrated associative latent model,True,18,0,-7810.984802908573,0.4974113947565115,2.0110985692416685
32,Modular causal latent SCM,True,19,0,-7817.90501670173,0.4958634474564096,1.9853270165511983
33,Pooled associative latent class model,True,21,1,-8074.484163978206,0.48723316086933727,1.762236487282675
33,Target-calibrated associative latent model,True,20,1,-7847.004613357597,0.4754359267071226,1.7587103504438075
33,Modular causal latent SCM,True,20,1,-7850.036287510775,0.47211977122500154,1.7633444516283778
34,Pooled associative latent class model,True,23,3,-7974.037940721783,0.4739648367202631,1.8999469589604439
34,Target-calibrated associative latent model,True,20,0,-7758.926937956476,0.473175609375159,1.9294530898391682
34,Modular causal latent SCM,True,21,0,-7765.283719643641,0.47033984390521394,1.9343503940112985
35,Pooled associative latent class model,True,25,1,-8012.026458053524,0.46766885698948896,1.9632939235763085
35,Target-calibrated associative latent model,True,21,0,-7799.497574276373,0.46960950000680485,2.0329458255976505
35,Modular causal latent SCM,True,21,0,-7799.585201854815,0.46796160515237306,2.029421671319616
36,Pooled associative latent class model,True,29,0,-8109.90902621253,0.44376080715881167,2.1386984299833425
36,Target-calibrated associative latent model,True,21,2,-7838.710474370175,0.47293697012502767,2.1690974495283237
36,Modular causal latent SCM,True,22,2,-7842.811085717776,0.46962379412636746,2.176215537919309
37,Pooled associative latent class model,True,36,3,-7976.131012800968,0.4497437664166194,1.981692020941712
37,Target-calibrated associative latent model,True,22,2,-7736.005956508517,0.4632314394037059,1.9721807150195498
37,Modular causal latent SCM,True,21,2,-7743.481421100143,0.46187982973664476,1.9817181547468086
38,Pooled associative latent class model,True,24,1,-8019.613704636941,0.4876516959212112,1.9551963492184061
38,Target-calibrated associative latent model,True,21,1,-7742.900960986286,0.4944134138417026,2.0974448468404887
38,Modular causal latent SCM,True,21,1,-7748.065745455568,0.49209250381163583,2.0928592783987403
39,Pooled associative latent class model,True,15,0,-7932.805784337301,0.49337149049789714,2.0504414903941575
39,Target-calibrated associative latent model,True,31,3,-7706.714938529229,0.4912460057481649,2.117759133612448
39,Modular causal latent SCM,True,25,2,-7709.001666807324,0.4897302460893462,2.1109961328390936
40,Pooled associative latent class model,True,20,2,-7967.681305205846,0.4940536825086985,2.0688333229641485
40,Target-calibrated associative latent model,True,17,2,-7752.6727741751965,0.4917514394608895,2.177881284428567
40,Modular causal latent SCM,True,13,2,-7761.798648732014,0.49417595099693024,2.1571093163028205
41,Pooled associative latent class model,True,25,1,-7949.48708810093,0.47323779460761556,1.861080729542262
41,Target-calibrated associative latent model,True,21,1,-7730.747080139319,0.48614135137245196,1.9279296173917508
41,Modular causal latent SCM,True,21,1,-7735.569586205613,0.4881446105434279,1.9367705894120064
42,Pooled associative latent class model,True,12,0,-7944.923577186519,0.49507037411358557,2.2624446164812664
42,Target-calibrated associative latent model,True,22,1,-7709.949769657372,0.49698529308584993,2.292458032259324
42,Modular causal latent SCM,True,22,1,-7711.072540920561,0.4972854902432913,2.2954610393275603
43,Pooled associative latent class model,True,23,1,-8072.75603779656,0.4600637982822859,1.9343336567352896
43,Target-calibrated associative latent model,True,22,1,-7822.889649821966,0.470541808595391,1.9744431420027484
43,Modular causal latent SCM,True,22,1,-7827.657520040091,0.4683963597568274,1.958597757743638
44,Pooled associative latent class model,True,22,1,-7960.251547426046,0.4608026623828454,2.087757840285852
44,Target-calibrated associative latent model,True,26,1,-7721.242955278081,0.45299049724567264,2.055325692578176
44,Modular causal latent SCM,True,26,1,-7719.701457731831,0.4516939496639884,2.0607359848468993
45,Pooled associative latent class model,True,16,0,-8015.589785388723,0.4821458921801596,2.0867969197309106
45,Target-calibrated associative latent model,True,17,0,-7749.751294987074,0.48689661132365675,2.1417261135588452
45,Modular causal latent SCM,True,19,2,-7752.531990846035,0.49120038358849505,2.140945807786318
46,Pooled associative latent class model,True,27,1,-7995.9324260517205,0.4648506820784504,2.306651967106184
46,Target-calibrated associative latent model,True,19,0,-7739.893318758537,0.4695661098032882,2.317073524495881
46,Modular causal latent SCM,True,21,1,-7745.911726356394,0.47014049918390033,2.3228530713607993
47,Pooled associative latent class model,True,22,1,-8064.594405415909,0.48206671833618164,1.8656597007649538
47,Target-calibrated associative latent model,True,17,0,-7820.761575015791,0.49757028606659487,1.9388697694850183
47,Modular causal latent SCM,True,17,3,-7825.160805063641,0.49662254245028187,1.9347967408302873
48,Pooled associative latent class model,True,24,1,-7941.982680250133,0.47952500156258615,2.099631202872074
48,Target-calibrated associative latent model,True,18,2,-7679.192708684688,0.47446697843090746,2.2281889731969855
48,Modular causal latent SCM,True,18,0,-7683.042598286109,0.476913819734755,2.2221001438210264
49,Pooled associative latent class model,True,26,1,-8000.499940029878,0.4537323719425755,2.1648502643607195
49,Target-calibrated associative latent model,True,23,1,-7769.473195503099,0.4669526327989576,2.1620058543019427
49,Modular causal latent SCM,True,23,1,-7774.483639858585,0.46580694578806703,2.160375862862622
